id,text,class
10000OTP,Khóa học này là một trò hề,1
10001PMB,Giảng viên giảng bài như đọc sách,1
10002WLF,Tôi đã bỏ ra cả đống tiền cho khóa học này mà chất lượng giảng dạy thì dưới mức tồi tệ,1
10003UCO,Thật sự tôi không thể tin nổi vào trình độ giảng dạy của giáo viên này,1
10004WFV,Học phí đắt đỏ nhưng chất lượng giảng dạy thì kém cỏi,1
10005OZH,Tôi cảm thấy bị lừa dối bởi những lời quảng cáo hoa mỹ về khóa học này,1
10006HCT,Phương pháp giảng dạy của giáo viên nhàm chán đến mức tôi muốn phát điên,1
10007JQO,Bài giảng khó hiểu,1
10008SFE,Tôi đã tố cáo giáo viên này nhiều lần về thái độ giảng dạy thiếu chuyên nghiệp nhưng không có hiệu quả gì,1
10009DLP,Chất lượng giáo dục ở đây thật sự quá tệ,1
10010UNB,Tôi đã mất rất nhiều thời gian và công sức cho khóa học này nhưng chẳng thu được gì,1
10011NXH,Giáo viên này thiếu kinh nghiệm giảng dạy,1
10012MLD,Tôi đã phản ánh nhiều lần về chất lượng giảng dạy kém nhưng không được giải quyết,1
10013EHR,Giáo viên giảng bài thiếu mạch lạc,1
10014BYP,Chất lượng giảng dạy tệ hại,1
10015NWC,Tôi đã phản ánh rất nhiều lần nhưng vẫn không được giải quyết,1
10016UDB,Tôi đã bỏ ra rất nhiều thời gian và công sức nhưng không thu được kết quả gì,1
10017LRC,Tôi cảm thấy mình bị bỏ rơi và không được quan tâm trong suốt quá trình học tập,1
10018BIU,Tôi đã rất cố gắng nhưng vẫn không thể theo kịp bài giảng,1
10019WPV,Tôi cảm thấy mình không được tôn trọng và đối xử công bằng trong quá trình học tập,1
10020SCM,Tôi đã phản ánh nhiều lần nhưng vẫn không được giải quyết,1
10021OSO,Giáo viên giảng bài thiếu sự nhiệt huyết,1
10022RUS,Tôi đã rất cố gắng nhưng vẫn không thể hiểu bài,1
10023JCK,Giáo viên thiếu sự kiên nhẫn,1
10024VKK,Giáo viên không quan tâm đến sinh viên,1
10025WEA,Tôi đã rất cố gắng nhưng vẫn không thể theo kịp bài giảng,1
10026VOT,Tôi cảm thấy mình không được tôn trọng và đối xử công bằng trong suốt quá trình học tập,1
10027YIE,Chất lượng giảng dạy ở đây rất tệ,1
10028UOO,Tôi đã phản ánh rất nhiều lần nhưng vẫn không được giải quyết,1
10029UEY,Khóa học này là một trò lừa đảo trắng trợn,1
10030XAP,Giảng viên giảng bài như đọc kịch bản,1
10031KYU,Tôi đã mất bao nhiêu công sức,1
10032DWL,Thầy cô giảng bài không có tâm,1
10033JUL,Hệ thống đào tạo lỗi thời,1
10034UQP,Tôi ghét cái cách giảng dạy của cô ấy,1
10035FWT,Mấy cái bài tập này khó hiểu kinh khủng,1
10036GQO,Tôi đã mất rất nhiều thời gian và công sức cho khóa học này,1
10037OQI,Tôi thấy mình bị lừa dối bởi những lời quảng cáo hấp dẫn,1
